Period,Background,Particulars,Total_Men,Percent_Men
UDHS 2016,Ethnicity,Acholi,218,8.2
UDHS 2016,Ethnicity,Alur,108,8.6
UDHS 2016,Ethnicity,Baganda,632,10.1
UDHS 2016,Ethnicity,Bagisu,165,3.7
UDHS 2016,Ethnicity,Bakiga,253,8.1
UDHS 2016,Ethnicity,Bakonzo,89,12
UDHS 2016,Ethnicity,Banyankore,401,10.2
UDHS 2016,Ethnicity,Banyoro,89,7
UDHS 2016,Ethnicity,Basoga,288,7.8
UDHS 2016,Ethnicity,Batoro,117,12.6
UDHS 2016,Ethnicity,Iteso,280,9.9
UDHS 2016,Ethnicity,Lango,259,4.8
UDHS 2016,Ethnicity,Lugbara,95,4.6
UDHS 2016,Ethnicity,Other,763,7.3
